,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
163,Oakland,27,53,Illinois,28,64,0.97,11.0,13.5,1.3,0.507,8.17,43.8,42.978,18.2,15.8,71.58,11.3,-1.0,25.5,9.5,35.0,71.7,72.7,1.0,7.2,23.8,34.97,28.0,8.3,0.2,11.3,11.5,1.06,14.0,27.4,4.2,0.529,9.6,46.62,35.061,12.8,18.6,58.06,10.8,11.0,35.0,12.2,47.2,60.0,76.6,16.0,4.2,26.0,30.0,26.4,7.8,-4.0,13.2,9.2
164,Southeastern La.,28,71,Auburn,39,86,0.89,11.8,16.5,1.0,0.457,13.25,41.3,44.981,18.0,21.5,72.09,15.5,-6.0,25.0,9.0,34.0,81.8,68.0,-13.0,5.2,15.5,32.26,29.7,5.0,-3.8,13.2,9.5,1.54,20.0,37.8,6.2,0.539,12.6,46.64,38.0,20.6,24.8,73.39,18.2,7.0,27.8,12.4,40.2,66.4,82.4,16.0,6.0,23.8,36.13,22.4,8.6,0.4,13.0,13.4
165,UTRGV,27,79,South Dakota,61,100,1.18,18.8,24.2,4.2,0.508,20.2,46.04,46.667,18.2,22.2,62.16,13.8,-1.0,25.6,11.8,37.4,82.0,80.4,-1.0,12.8,23.0,26.96,43.3,6.2,2.6,16.0,18.6,0.89,13.0,26.4,3.0,0.53,11.6,46.67,42.633,17.8,21.4,71.96,15.4,9.0,28.2,14.4,42.6,75.6,82.2,6.0,5.0,19.8,40.4,33.6,8.0,-1.6,14.6,13.0
166,Tennessee Tech,26,72,Murray St.,36,78,0.95,10.6,20.2,2.8,0.483,6.8,43.39,47.195,16.6,13.0,60.0,7.8,-5.0,25.4,7.0,32.4,78.4,64.8,-13.0,3.4,19.8,29.29,34.7,5.8,-1.8,11.2,9.4,1.51,15.5,15.25,3.0,0.534,12.75,46.83,47.581,15.0,22.8,68.13,15.5,8.0,27.5,12.5,40.0,74.8,82.8,8.0,4.8,22.0,37.5,36.1,8.2,1.2,10.2,11.5
167,Little Rock,25,71,UIC,38,86,1.5,13.5,19.0,3.0,0.448,15.5,40.38,47.368,22.5,26.8,73.83,19.8,-8.0,20.75,12.75,33.5,84.5,78.0,-6.0,7.0,22.8,25.27,36.7,5.8,5.5,9.0,14.5,1.11,15.8,23.0,6.5,0.561,10.25,48.54,34.783,16.5,16.5,71.21,11.8,5.0,30.75,9.75,40.5,63.8,78.8,15.0,6.0,23.0,39.13,21.2,9.0,-2.5,14.2,11.75
168,Dayton,25,66,Northwestern,35,71,1.22,14.4,18.8,2.4,0.53,4.0,45.12,44.765,14.2,20.6,78.64,16.2,-2.0,21.6,8.2,29.8,67.0,68.4,1.0,5.8,23.0,33.91,40.0,7.8,-0.6,11.8,11.2,1.41,13.0,9.0,4.8,0.483,7.6,43.01,44.033,16.6,15.0,78.67,11.8,-2.0,19.4,10.8,30.2,62.6,67.0,4.0,9.4,20.6,29.13,38.1,6.0,6.8,9.2,16.0
169,Rider,32,65,Marquette,49,95,0.98,12.8,22.2,3.8,0.432,10.6,39.27,40.203,17.2,15.8,60.76,9.6,1.0,29.2,12.4,41.6,71.6,66.8,-4.0,8.2,20.6,25.24,29.2,5.2,-0.4,13.0,12.6,1.64,14.8,24.2,2.6,0.555,13.2,48.39,39.465,15.4,18.4,63.04,11.6,-1.0,26.0,9.6,35.6,65.4,80.4,15.0,9.0,26.2,33.59,31.5,8.8,6.4,9.0,15.4
170,Southeast Mo. St.,21,56,Butler,55,91,0.83,13.2,31.5,3.0,0.444,10.5,38.43,47.917,18.0,16.5,53.03,8.8,-5.0,23.75,10.25,34.0,80.8,62.5,-18.0,7.0,23.2,31.18,34.7,7.2,-3.5,16.0,12.5,1.29,14.5,26.0,4.5,0.523,12.75,45.45,34.694,14.8,22.0,76.14,16.8,2.0,30.25,9.25,39.5,58.0,80.0,22.0,7.2,25.8,32.04,27.0,8.2,4.2,11.2,15.5
171,Temple,41,75,Navy,26,68,1.19,10.8,16.0,3.5,0.448,9.25,37.76,41.026,15.8,24.8,83.84,20.8,0.0,27.25,11.0,38.25,68.8,74.8,6.0,8.0,26.8,31.78,35.2,8.5,4.2,9.0,13.25,0.78,9.8,25.25,1.5,0.402,7.25,35.65,45.894,20.2,14.8,76.27,11.2,-2.0,21.5,12.25,33.75,68.5,57.5,-11.0,5.8,21.5,24.42,24.2,5.2,0.2,12.5,12.75
172,Delaware St.,30,59,Texas,39,86,0.66,10.6,21.4,1.2,0.399,11.4,37.29,48.872,18.6,22.0,65.45,14.4,0.0,20.2,13.8,34.0,77.4,62.8,-14.0,10.4,13.6,23.53,40.4,3.2,1.4,16.0,17.4,1.45,17.4,19.6,4.8,0.572,14.8,50.51,39.655,17.4,20.4,69.61,14.2,2.0,27.0,9.8,36.8,68.0,81.2,13.0,7.4,20.6,37.86,26.6,7.8,0.8,12.0,12.8
173,IUPUI,21,66,Valparaiso,25,56,0.59,7.8,27.17,2.3,0.451,8.33,42.69,46.471,17.0,16.0,75.0,12.0,-1.0,20.83,12.0,32.83,74.8,64.5,-10.0,6.7,14.3,19.77,36.3,2.8,-0.3,13.2,12.83,1.1,11.0,22.8,6.4,0.431,12.8,38.15,40.498,15.6,21.8,70.64,15.4,-3.0,28.2,12.2,40.4,67.8,71.4,3.0,7.2,21.0,30.48,26.0,6.4,4.8,10.0,14.8
174,Memphis,26,70,Missouri,33,55,1.11,16.3,27.0,5.7,0.563,13.0,48.69,35.922,16.0,20.7,66.13,13.7,5.0,31.67,12.0,43.67,69.0,85.3,16.0,9.7,24.3,39.73,30.2,9.7,-0.3,14.7,14.33,1.27,15.2,25.4,7.0,0.534,13.4,45.21,40.0,18.6,13.8,78.26,10.8,-2.0,26.0,8.4,34.4,68.0,73.2,5.0,8.0,28.2,34.04,31.4,9.6,1.2,12.0,13.2
175,Montana,37,61,Oregon,37,75,1.47,14.0,25.25,2.8,0.533,10.25,48.76,41.277,17.8,18.5,77.03,14.2,3.0,27.75,9.0,36.75,69.2,78.8,9.0,4.5,17.8,30.99,32.3,5.5,0.8,9.5,10.25,1.61,13.2,25.25,3.2,0.512,11.25,45.31,39.565,15.5,27.8,58.56,16.2,11.0,32.0,12.5,44.5,63.2,79.0,15.0,7.8,19.0,38.16,28.8,7.2,3.5,8.2,11.75
176,Sacramento St.,39,73,Stanford,47,91,1.13,17.2,25.6,1.6,0.517,11.4,42.86,48.571,15.2,15.4,76.62,11.8,13.0,27.6,15.4,43.0,80.2,78.4,-1.0,3.8,34.4,33.14,37.7,11.4,-6.8,15.2,8.4,2.05,19.5,21.0,4.2,0.562,6.25,49.25,43.609,16.0,16.5,75.76,12.5,-1.0,27.75,8.75,36.5,77.8,87.8,10.0,6.5,24.0,38.54,38.7,9.2,3.5,9.5,13.0
177,San Diego St.,28,65,BYU,33,74,1.4,17.4,10.2,4.4,0.528,10.6,46.53,42.623,18.2,27.0,70.37,19.0,2.0,26.0,12.0,38.0,71.6,83.0,11.0,9.8,21.8,34.86,30.4,7.6,2.2,12.4,14.6,2.36,23.0,42.75,3.2,0.581,22.0,49.1,37.975,17.2,18.2,82.19,15.0,19.0,33.0,15.5,48.5,56.5,95.5,39.0,7.0,33.8,37.04,19.7,12.5,4.5,9.8,14.25
178,Tennessee,43,80,Wisconsin,35,70,1.31,14.2,25.8,5.0,0.5,9.0,43.05,35.54,19.4,22.6,76.99,17.4,4.0,28.2,10.4,38.6,60.0,76.4,16.0,7.2,23.6,34.75,25.9,8.2,3.2,10.8,14.0,1.08,11.4,22.4,1.8,0.51,4.4,46.21,45.276,17.2,22.6,71.68,16.2,4.0,22.2,11.6,33.8,67.4,75.4,8.0,6.2,17.4,32.18,34.3,5.6,4.2,10.6,14.8
179,Yale,42,71,Gonzaga,47,86,1.34,13.7,17.67,2.8,0.526,6.83,47.24,40.214,14.2,18.0,73.15,13.2,1.0,28.33,7.83,36.17,69.0,76.7,7.0,5.5,18.2,35.78,30.7,6.5,1.0,10.2,11.17,1.25,16.5,27.0,2.8,0.55,17.5,50.18,37.452,16.0,15.5,66.13,10.2,16.0,31.75,15.75,47.5,64.5,87.0,22.0,9.0,23.2,29.03,23.2,6.8,-0.8,13.2,12.5
180,Clemson,39,77,UAB,42,76,1.64,17.2,24.25,6.2,0.555,6.5,47.23,40.179,16.8,15.8,74.6,11.8,1.0,25.25,8.75,34.0,66.2,77.0,10.0,4.2,24.2,40.21,34.1,9.8,1.5,10.5,12.0,0.72,9.4,26.4,5.2,0.451,14.8,41.61,41.914,17.0,23.2,70.69,16.4,5.0,27.8,13.0,40.8,69.4,70.2,0.0,8.0,16.0,26.25,27.4,4.2,-0.6,13.0,12.4
181,Virginia Tech,31,77,South Carolina,38,79,2.24,19.0,27.25,3.0,0.565,10.25,49.13,41.284,14.8,23.0,81.52,18.8,4.0,24.5,9.5,34.0,63.5,83.8,20.0,7.2,23.0,36.96,37.5,8.5,6.5,8.5,15.0,1.25,15.2,21.0,2.6,0.555,6.4,48.23,41.516,19.0,20.4,68.63,14.0,6.0,25.6,10.4,36.0,66.0,76.6,10.0,5.6,20.8,39.42,28.9,8.2,-0.6,12.2,11.6
182,Prairie View,30,65,Washington St.,43,83,0.78,9.7,17.83,3.2,0.435,11.0,39.84,39.833,20.3,24.2,77.93,18.8,0.0,27.17,13.0,40.17,70.7,74.5,3.0,9.0,14.8,31.46,29.5,4.7,3.0,12.3,15.33,1.33,14.0,23.25,7.0,0.544,9.5,50.0,38.767,20.0,21.2,61.18,13.0,7.0,27.5,11.25,38.75,64.2,77.2,13.0,6.8,18.2,28.77,23.0,5.2,0.5,10.5,11.0
183,UC Riverside,13,53,Utah,48,82,1.73,14.2,26.0,1.4,0.421,9.0,35.09,46.975,17.2,14.4,68.06,9.8,-3.0,22.4,12.8,35.2,74.4,64.0,-10.0,5.6,30.0,30.0,41.9,9.0,4.4,8.2,12.6,1.44,18.4,17.2,3.6,0.546,6.8,46.89,42.633,13.0,21.8,68.81,15.0,8.0,30.2,11.4,41.6,71.2,81.6,10.0,7.0,24.2,38.84,35.8,9.4,-2.0,12.8,10.8
184,Lafayette,33,50,UCLA,30,68,0.9,13.0,21.25,4.5,0.441,6.0,37.73,43.723,15.8,15.8,60.32,9.5,-3.0,23.0,9.75,32.75,69.5,58.0,-11.0,8.5,24.8,28.28,35.3,7.0,-2.5,14.5,12.0,1.18,14.2,20.0,4.4,0.526,10.6,49.08,34.496,17.0,21.6,73.15,15.8,11.0,27.8,10.0,37.8,54.2,73.2,19.0,7.8,12.8,29.69,26.7,3.8,1.6,12.0,13.6
185,Pacific,40,87,California,38,79,1.15,17.2,26.4,2.2,0.478,8.2,42.27,46.416,19.6,17.0,62.35,10.6,-7.0,23.0,6.2,29.2,76.0,66.2,-9.0,6.8,21.8,29.36,25.3,6.4,-1.4,15.0,13.6,0.7,9.4,10.8,3.8,0.519,8.8,44.94,43.911,18.8,24.0,73.33,17.6,7.0,24.0,12.0,36.0,70.8,73.0,2.0,4.8,21.8,33.94,36.4,7.4,-2.2,13.4,11.2
186,Texas St.,40,75,Miami (OH),31,65,0.71,11.0,13.8,4.4,0.436,10.4,39.37,42.754,21.6,21.2,61.32,13.0,5.0,25.0,15.0,40.0,70.0,63.0,-7.0,5.8,18.2,26.37,30.8,4.8,-3.2,15.6,12.4,0.89,13.8,19.5,3.5,0.562,8.5,47.4,42.105,17.5,23.5,69.15,16.2,-4.0,25.0,5.75,30.75,64.8,70.2,5.0,7.8,21.0,40.48,26.6,8.5,0.5,15.5,16.0
187,Loyola Maryland,31,77,Brown,29,75,0.84,12.4,20.6,3.4,0.469,7.6,40.66,45.231,17.2,15.2,67.11,10.2,-5.0,26.2,10.0,36.2,78.2,67.4,-10.0,6.8,23.4,32.48,30.4,7.6,-1.8,14.8,13.0,1.13,13.8,19.6,5.6,0.469,11.2,40.5,42.014,18.4,23.0,60.87,14.0,5.0,29.0,14.6,43.6,72.6,74.2,1.0,8.6,26.8,30.6,38.2,8.2,2.2,12.2,14.4
188,Arkansas St.,31,75,Bowling Green,34,81,1.2,16.5,24.0,3.8,0.537,9.25,45.91,52.991,22.8,19.0,64.47,12.2,0.0,22.75,11.75,34.5,90.0,81.2,-8.0,4.8,27.5,36.36,34.7,10.0,-4.8,13.8,9.0,1.02,11.5,22.5,3.5,0.494,6.75,43.7,45.133,17.8,19.5,57.69,11.2,2.0,26.0,10.25,36.25,70.5,70.0,0.0,5.0,24.5,27.55,39.7,6.8,1.2,11.2,12.5
189,Ga. Southern,23,60,Eastern Mich.,40,70,0.58,8.5,34.5,2.7,0.486,8.17,40.0,50.0,21.7,18.3,76.36,14.0,-5.0,20.33,11.17,31.5,84.8,70.7,-14.0,6.2,29.8,33.52,43.3,10.0,-1.0,14.7,13.67,0.79,11.2,23.0,1.2,0.513,2.6,45.8,48.026,15.8,17.2,67.44,11.6,-2.0,23.2,8.2,31.4,77.6,65.4,-12.0,4.0,18.0,32.22,31.4,5.8,-4.8,14.2,9.4
190,High Point,51,98,Wofford,46,99,0.98,12.6,29.2,4.2,0.565,12.2,47.44,39.088,18.8,26.0,76.92,20.0,16.0,31.8,13.6,45.4,72.8,86.2,13.0,4.4,26.8,39.55,33.9,10.6,-4.6,12.8,8.2,1.25,16.0,33.0,3.2,0.549,6.75,46.09,48.707,20.0,20.5,65.85,13.5,-1.0,21.75,11.0,32.75,86.5,80.2,-6.0,3.8,30.0,35.83,37.9,10.8,-2.8,12.8,10.0
191,ULM,38,74,Central Mich.,31,64,1.1,16.5,32.5,2.2,0.49,10.5,43.33,40.0,18.8,16.5,54.55,9.0,2.0,25.0,14.75,39.75,73.8,67.8,-6.0,9.8,21.2,31.76,32.0,6.8,-1.0,15.0,14.0,0.7,10.7,16.83,3.2,0.489,9.5,43.24,48.048,17.2,15.5,67.74,10.5,-2.0,20.5,10.5,31.0,74.5,64.8,-9.0,7.0,20.8,30.4,35.1,6.3,-1.2,15.2,14.0
192,Cornell,45,78,Fordham,24,73,1.19,18.0,41.83,2.3,0.594,14.0,50.97,45.405,18.2,20.8,68.0,14.2,5.0,27.5,10.0,37.5,76.3,85.7,9.0,8.3,27.3,37.2,29.6,10.2,-0.7,15.2,14.5,0.57,10.0,24.2,3.4,0.451,10.4,38.99,41.176,21.8,28.4,59.86,17.0,0.0,23.4,14.0,37.4,68.8,67.0,-1.0,7.2,23.4,29.06,28.6,6.8,-0.6,17.4,16.8
193,Georgia St.,40,77,Western Mich.,29,70,1.44,12.2,32.5,1.8,0.468,8.5,41.95,44.978,23.0,22.8,72.53,16.5,0.0,24.5,14.5,39.0,76.5,79.0,2.0,6.2,21.5,30.23,29.3,6.5,3.2,8.5,11.75,0.76,11.2,21.25,1.8,0.481,3.75,40.77,43.697,18.0,16.5,56.06,9.2,1.0,24.5,14.5,39.0,73.2,65.2,-8.0,4.8,24.5,34.69,34.0,8.5,-3.0,14.8,11.75
194,William & Mary,42,89,George Washington,43,95,1.17,13.5,24.33,1.2,0.513,6.67,43.18,41.071,19.3,21.5,72.87,15.7,4.0,27.83,10.33,38.17,70.0,77.0,7.0,5.2,29.2,33.14,33.8,9.7,1.0,11.5,12.5,0.98,13.2,23.5,7.0,0.543,7.25,46.5,33.916,13.0,21.5,81.4,17.5,4.0,36.5,6.75,43.25,65.0,83.5,18.0,7.8,24.8,38.38,25.2,9.5,-1.5,13.5,12.0
195,Campbell,26,63,East Carolina,39,77,0.62,10.0,14.4,3.4,0.483,7.6,43.48,41.311,14.6,21.2,69.81,14.8,-1.0,23.6,8.4,32.0,66.4,59.2,-7.0,6.0,14.4,30.56,25.8,4.4,-4.8,16.0,11.2,1.23,15.0,16.67,2.8,0.549,11.33,48.41,46.608,16.3,26.8,70.19,18.8,6.0,23.67,12.83,36.5,72.8,82.0,9.0,8.5,22.3,33.58,33.8,7.5,2.2,12.2,14.33
196,UNCW,45,83,UNC Asheville,26,66,1.25,13.0,37.2,3.0,0.572,18.2,49.06,48.355,16.0,21.2,74.53,15.8,0.0,26.4,9.0,35.4,75.8,88.6,12.0,7.0,23.4,44.44,34.3,10.4,3.8,10.4,14.2,1.8,22.0,40.0,5.0,0.612,12.75,52.61,40.873,18.8,24.8,66.67,16.5,4.0,26.75,10.5,37.25,73.8,92.8,19.0,6.5,29.5,36.44,37.4,10.8,3.8,12.2,16.0
197,North Dakota St.,31,60,Creighton,41,89,1.2,12.0,28.83,1.5,0.527,7.17,46.09,44.974,13.0,17.5,70.48,12.3,2.0,26.5,11.83,38.33,73.3,77.5,4.0,5.8,21.3,38.28,39.2,8.2,0.8,10.0,10.83,1.98,19.8,25.5,4.2,0.646,12.5,53.66,39.313,8.5,17.0,73.53,12.5,16.0,32.5,11.25,43.75,62.0,92.0,30.0,3.8,33.8,40.0,34.0,13.5,-3.0,10.0,7.0
198,Old Dominion,36,68,Ball St.,38,73,0.73,10.0,31.33,2.7,0.511,20.33,45.95,41.618,19.3,13.7,65.85,9.0,7.0,29.67,11.0,40.67,72.0,72.0,0.0,6.3,16.7,38.0,33.3,6.3,-3.0,13.7,10.67,0.94,10.2,21.6,3.4,0.512,8.2,45.61,41.852,14.8,24.6,71.54,17.6,7.0,26.4,11.8,38.2,58.2,78.2,20.0,7.0,19.6,33.67,24.1,6.6,5.6,10.8,16.4
199,South Alabama,33,70,Buffalo,29,56,0.9,10.4,21.57,2.9,0.516,7.0,45.16,46.729,17.7,22.6,71.52,16.1,-2.0,26.43,7.14,33.57,79.1,75.6,-3.0,5.0,22.9,32.5,35.8,7.4,-1.3,11.6,10.29,0.72,13.0,16.2,3.0,0.484,10.2,42.4,50.831,17.6,24.0,70.83,17.0,6.0,25.4,13.2,38.6,83.0,71.8,-11.0,6.6,22.8,29.82,38.5,6.8,-6.2,18.0,11.8
200,Marist,36,65,UMBC,22,59,1.21,13.0,23.5,2.2,0.507,7.25,46.05,44.55,18.5,15.2,57.38,8.8,-4.0,25.5,6.5,32.0,67.5,66.5,-1.0,8.2,18.0,29.17,34.7,5.2,3.0,10.8,13.75,0.9,12.8,32.5,3.5,0.515,12.5,45.91,43.401,17.5,18.7,60.71,11.3,0.0,28.33,12.17,40.5,79.2,80.5,1.0,5.3,20.2,37.19,30.8,7.5,0.2,14.3,14.5
201,Northeastern,34,74,La Salle,38,79,1.0,13.8,21.67,3.7,0.543,8.0,47.85,46.685,13.7,21.8,71.76,15.7,3.0,23.5,11.0,34.5,75.0,74.7,0.0,6.5,19.7,35.59,35.8,7.0,-2.7,13.8,11.17,1.69,14.2,11.8,3.0,0.51,10.4,44.76,46.441,16.8,18.8,72.34,13.6,-6.0,23.4,8.0,31.4,73.0,72.0,-1.0,5.4,21.4,33.64,35.6,7.2,3.2,8.4,11.6
202,App State,36,78,NIU,48,91,1.55,15.5,32.75,5.8,0.522,16.5,46.47,37.295,15.0,18.8,54.67,10.2,7.0,30.75,13.0,43.75,69.2,80.5,11.0,6.8,23.8,32.63,33.3,7.8,2.5,10.0,12.5,1.04,14.0,19.8,5.6,0.554,19.6,49.35,39.886,15.6,28.4,66.9,19.0,4.0,30.2,11.2,41.4,76.4,87.2,10.0,6.2,21.4,34.58,30.3,7.4,-1.4,13.4,12.0
203,Canisius,30,70,St. Bonaventure,37,67,0.77,12.5,29.25,3.8,0.548,10.5,47.01,42.146,18.8,18.5,56.76,10.5,6.0,28.5,14.25,42.75,74.0,79.2,5.0,6.8,23.5,41.49,27.3,9.8,-4.5,16.2,11.75,0.92,11.2,13.0,3.2,0.471,7.0,41.78,45.205,16.8,17.5,77.14,13.5,-2.0,21.0,11.0,32.0,70.0,66.5,-3.0,6.2,23.5,25.53,34.1,6.0,2.5,12.2,14.75
204,FDU,23,55,Seton Hall,47,85,1.49,18.8,34.4,2.2,0.56,19.0,47.09,40.181,17.6,23.6,70.34,16.6,-2.0,29.6,10.2,39.8,74.0,89.8,15.0,10.4,31.4,36.94,31.9,11.6,4.0,12.6,16.6,1.09,14.5,23.75,2.8,0.566,10.5,51.77,35.47,14.5,21.8,77.01,16.8,11.0,29.5,11.5,41.0,59.0,80.8,21.0,9.8,17.5,31.43,24.8,5.5,1.0,13.2,14.25
205,Saint Peter's,38,75,NJIT,25,48,0.75,10.2,30.25,2.8,0.449,7.75,39.11,43.333,22.0,19.0,82.89,15.8,9.0,22.25,14.5,36.75,64.5,66.2,1.0,7.8,20.0,32.5,36.8,6.5,0.2,13.8,14.0,0.72,10.2,16.25,1.2,0.464,5.25,40.45,44.048,22.2,21.0,69.05,14.5,-15.0,21.0,8.25,29.25,83.8,65.5,-18.0,6.5,21.5,30.23,36.4,6.5,-3.0,14.2,11.25
206,Montana St.,25,68,Seattle U,30,71,1.4,12.2,25.0,2.8,0.504,7.75,43.37,44.39,18.5,11.8,76.6,9.0,-9.0,22.25,7.25,29.5,62.0,71.8,9.0,10.8,29.8,29.41,22.7,8.8,10.0,8.8,18.75,0.63,10.5,14.5,3.8,0.434,7.0,39.44,38.793,20.8,23.2,78.49,18.2,2.0,27.0,9.0,36.0,62.5,64.5,2.0,6.8,19.0,22.37,24.4,4.2,-2.2,16.8,14.5
207,UT Martin,27,63,Mississippi St.,41,87,0.94,12.8,24.0,2.6,0.486,18.4,43.3,39.13,12.6,16.0,77.5,12.4,3.0,33.8,11.6,45.4,77.4,80.6,3.0,8.6,25.2,29.37,31.4,7.4,-1.4,13.6,12.2,1.06,13.6,35.4,4.6,0.51,9.8,43.73,35.57,15.6,21.0,76.19,16.0,8.0,31.4,10.6,42.0,58.8,76.2,17.0,7.8,26.6,32.33,22.9,8.6,-0.4,12.8,12.4
208,Drexel,29,74,Winthrop,33,72,1.03,12.2,18.0,4.8,0.477,12.2,43.82,37.184,17.6,16.6,67.47,11.2,6.0,28.2,10.8,39.0,60.8,65.2,4.0,4.6,18.0,24.44,30.5,4.4,-1.8,11.8,10.0,0.81,10.0,28.33,2.5,0.548,7.0,48.23,39.077,16.2,29.0,72.41,21.0,2.0,24.0,10.0,34.0,63.0,77.8,14.0,7.7,19.0,35.96,27.2,6.8,2.0,12.3,14.33
209,Milwaukee,26,69,Providence,39,79,1.38,12.8,32.83,3.8,0.449,14.67,38.44,46.218,17.0,20.2,68.6,13.8,-1.0,23.33,16.0,39.33,76.3,75.3,-1.0,9.0,29.8,29.61,40.8,8.8,5.3,9.3,14.67,0.79,12.4,14.4,7.0,0.507,9.4,44.48,35.032,16.6,22.0,69.09,15.2,5.0,28.4,12.0,40.4,64.8,74.0,9.0,6.8,24.0,30.0,26.9,7.2,-1.4,15.6,14.2
210,Ohio,40,78,Cleveland St.,38,82,1.58,13.7,16.67,4.3,0.517,8.33,44.69,37.363,19.7,22.7,76.47,17.3,-2.0,26.33,10.33,36.67,68.0,79.0,11.0,7.0,25.3,32.89,27.0,8.3,5.0,8.7,13.67,1.09,12.0,24.4,6.0,0.505,18.8,45.13,41.754,18.8,24.8,66.94,16.6,0.0,24.2,14.0,38.2,65.6,78.8,13.0,10.4,18.6,35.48,29.9,6.6,5.0,11.0,16.0
211,UAlbany,41,78,Columbia,29,75,0.76,11.0,15.4,4.2,0.469,10.8,40.73,44.86,19.8,22.8,71.05,16.2,1.0,25.4,11.4,36.8,81.4,72.8,-8.0,5.0,22.4,33.04,32.5,7.4,-6.0,14.4,8.4,1.35,17.3,31.0,2.3,0.524,17.83,46.07,39.167,16.3,22.3,79.85,17.8,2.0,27.17,9.33,36.5,65.3,80.0,14.0,11.0,22.5,33.33,26.8,7.5,4.0,12.8,16.83
212,Fresno St.,22,69,Kent St.,31,79,0.89,14.2,25.5,2.8,0.595,13.0,51.63,43.033,16.2,21.2,68.24,14.5,4.0,27.25,8.0,35.25,72.2,78.5,6.0,8.2,20.5,41.46,39.1,8.5,-3.2,16.0,12.75,1.04,13.5,24.17,2.8,0.504,14.0,44.0,41.691,20.0,26.3,75.32,19.8,2.0,25.0,12.67,37.67,71.7,82.8,11.0,8.2,24.0,33.33,38.1,8.0,4.7,13.0,17.67
213,Saint Francis (PA),24,59,Santa Clara,46,82,0.58,8.8,25.0,2.2,0.436,5.2,39.1,48.148,19.2,15.8,67.09,10.6,-10.0,19.4,8.8,28.2,77.4,57.0,-20.0,4.8,18.8,25.53,30.5,4.8,-3.4,15.2,11.8,1.4,17.4,24.6,4.0,0.551,15.2,48.88,36.12,15.8,15.4,63.64,9.8,10.0,30.0,12.0,42.0,61.4,78.8,17.0,6.6,24.6,31.71,31.4,7.8,0.8,12.4,13.2
214,Louisiana,45,78,Toledo,34,87,1.27,15.2,17.0,5.0,0.545,13.2,47.02,46.454,17.2,16.4,75.61,12.4,1.0,22.2,13.0,35.2,71.2,82.0,10.0,8.2,26.2,36.64,19.5,9.6,3.2,12.0,15.2,1.44,16.2,30.0,1.8,0.577,15.0,51.88,52.991,15.5,22.8,73.63,16.8,-5.0,19.5,9.0,28.5,76.8,85.8,9.0,9.5,15.8,44.44,30.6,7.0,6.5,11.2,17.75
215,Eastern Ill.,25,65,Loyola Chicago,48,89,0.84,10.7,24.33,2.7,0.438,8.5,39.13,44.625,18.5,13.5,72.84,9.8,2.0,23.33,13.33,36.67,67.5,63.5,-4.0,6.7,17.2,33.01,33.3,5.7,0.8,12.7,13.5,1.11,15.2,24.0,6.0,0.511,10.5,44.34,39.431,17.5,21.2,76.47,16.2,1.0,28.75,8.0,36.75,70.5,72.8,2.0,5.8,23.2,32.26,37.5,7.5,-2.2,13.8,11.5
216,Holy Cross,32,68,Georgetown,37,67,1.07,12.0,15.5,2.0,0.526,4.5,45.8,47.076,16.7,12.5,62.67,7.8,-1.0,22.83,9.83,32.67,76.2,68.3,-7.0,4.5,22.8,34.31,41.4,7.8,-2.3,11.2,8.83,0.99,14.4,12.6,2.8,0.541,12.4,46.28,42.574,16.2,21.4,67.29,14.4,6.0,27.4,12.6,40.0,70.2,78.4,8.0,6.2,26.2,35.11,28.2,9.2,-3.2,14.6,11.4
217,Illinois St.,34,71,Saint Louis,46,80,0.89,10.8,25.4,2.0,0.476,5.6,40.83,40.502,17.2,23.0,63.48,14.6,0.0,25.6,11.8,37.4,64.6,69.6,5.0,6.4,24.4,31.97,31.3,7.8,2.2,12.2,14.4,1.2,12.2,22.83,3.2,0.509,17.67,43.71,41.623,17.3,27.2,71.78,19.5,-6.0,28.17,7.0,35.17,72.5,78.8,6.0,8.3,21.2,39.37,30.2,8.3,4.2,10.2,14.33
218,Siena,22,48,Richmond,43,90,0.64,11.4,10.2,5.6,0.49,2.2,43.85,49.648,15.0,14.2,54.93,7.8,4.0,22.0,12.2,34.2,74.0,58.8,-15.0,3.6,18.4,29.35,41.7,5.4,-7.8,17.8,10.0,1.74,14.6,22.6,4.0,0.569,6.8,49.65,40.636,14.2,16.0,71.25,11.4,-3.0,24.8,6.8,31.6,64.0,77.0,13.0,8.4,21.6,38.89,31.5,8.4,5.0,8.4,13.4
