,Home,1h,Th,Away,1w,Tw,home_ATRatio,home_Apg,home_BPpg,home_Bpg,home_EFG%,home_FbP,home_Fg%,home_Fg%D,home_Fpg,home_FTApg,home_FTp,home_FTMpg,home_RM,RDpg_x,home_ROpg,home_Rpg,home_SD,home_SO,home_SM,home_Spg,home_3PApg,home_3P%,home_3PD%,home_3Ppg,home_TOM,home_Tpg,home_TFpg,away_ATRatio,away_Apg,away_BPpg,away_Bpg,away_EFG%,away_FbP,away_Fg%,away_Fg%D,away_Fpg,away_FTApg,away_FTp,away_FTMpg,away_RM,RDpg_y,away_ROpg,away_Rpg,away_SD,away_SO,away_SM,away_Spg,away_3PApg,away_3P%,away_3PD%,away_3Ppg,away_TOM,away_Tpg,away_TFpg
485,Wofford,33,76,Virginia Tech,43,98,1.25,16.0,33.0,3.2,0.549,6.75,46.09,48.707,20.0,20.5,65.85,13.5,-1.0,21.75,11.0,32.75,86.5,80.2,-6.0,3.8,30.0,35.83,37.9,10.8,-2.8,12.8,10.0,2.24,19.0,27.25,3.0,0.565,10.25,49.13,41.284,14.8,23.0,81.52,18.8,4.0,24.5,9.5,34.0,63.5,83.8,20.0,7.2,23.0,36.96,37.5,8.5,6.5,8.5,15.0
486,George Mason,22,49,Charlotte,25,54,0.89,11.2,17.8,3.6,0.509,6.6,43.54,38.966,15.8,20.0,75.0,15.0,7.0,28.4,11.2,39.6,62.8,70.2,7.0,5.2,22.2,36.04,35.2,8.0,-2.0,12.6,10.6,1.12,12.6,11.0,3.6,0.485,5.0,43.94,38.267,15.6,15.4,76.62,11.8,0.0,27.2,6.8,34.0,58.2,63.0,4.0,6.0,15.8,30.38,28.2,4.8,0.2,11.2,11.4
487,Vermont,33,61,Liberty,35,71,1.52,14.0,19.4,3.2,0.571,9.6,48.57,39.928,13.8,15.2,67.11,10.2,6.0,28.2,8.8,37.0,59.8,74.2,14.0,5.6,26.2,36.64,29.7,9.6,0.6,9.2,9.8,1.66,16.6,30.8,1.8,0.604,5.8,50.67,40.426,14.6,16.4,68.29,11.2,7.0,28.2,9.6,37.8,60.6,83.2,22.0,5.8,28.2,41.13,25.5,11.6,1.8,10.0,11.8
488,Fordham,16,45,Abilene Christian,32,59,0.57,10.0,24.2,3.4,0.451,10.4,38.99,41.176,21.8,28.4,59.86,17.0,0.0,23.4,14.0,37.4,68.8,67.0,-1.0,7.2,23.4,29.06,28.6,6.8,-0.6,17.4,16.8,1.0,11.3,19.83,1.8,0.452,6.67,40.63,44.012,19.5,21.5,72.09,15.5,-6.0,22.0,10.33,32.33,70.8,67.8,-3.0,6.5,16.2,32.99,28.2,5.3,1.7,11.3,13.0
489,Alcorn,16,49,Michigan St.,44,81,0.81,10.0,27.33,1.5,0.433,14.17,39.73,48.688,20.5,25.2,65.56,16.5,-1.0,23.17,12.67,35.83,84.8,69.2,-15.0,9.2,15.3,28.26,38.4,4.3,0.8,12.3,13.17,1.55,17.0,19.6,5.4,0.487,17.4,44.55,33.448,19.0,22.6,66.37,15.0,0.0,28.0,11.6,39.6,61.4,74.0,12.0,7.4,19.0,26.32,28.1,5.0,2.4,11.0,13.4
490,Jackson St.,34,73,Missouri,37,72,0.77,12.0,19.17,2.8,0.459,11.17,40.79,46.067,20.0,18.7,63.39,11.8,-6.0,23.83,9.83,33.67,82.2,65.8,-16.0,7.3,19.7,30.51,36.7,6.0,-1.3,15.7,14.33,1.27,15.2,25.4,7.0,0.534,13.4,45.21,40.0,18.6,13.8,78.26,10.8,-2.0,26.0,8.4,34.4,68.0,73.2,5.0,8.0,28.2,34.04,31.4,9.6,1.2,12.0,13.2
491,St. John's (NY),52,91,Utah,43,82,1.0,15.2,20.4,4.6,0.519,11.6,44.72,45.098,18.0,15.6,69.23,10.8,7.0,24.0,16.6,40.6,77.0,77.6,0.0,6.6,23.2,39.66,37.9,9.2,-2.8,15.2,12.4,1.44,18.4,17.2,3.6,0.546,6.8,46.89,42.633,13.0,21.8,68.81,15.0,8.0,30.2,11.4,41.6,71.2,81.6,10.0,7.0,24.2,38.84,35.8,9.4,-2.0,12.8,10.8
492,UT Arlington,37,56,Arizona,43,101,1.12,16.5,29.5,2.5,0.487,7.75,41.51,43.233,18.5,17.5,68.57,12.0,7.0,29.75,15.0,44.75,79.5,76.5,-3.0,5.2,29.2,32.48,34.7,9.5,-4.8,14.8,10.0,1.57,22.6,36.2,5.0,0.588,22.8,52.35,37.582,16.2,25.6,76.56,19.6,21.0,33.2,16.0,49.2,63.0,99.6,36.0,10.0,21.2,41.51,31.7,8.8,2.8,14.4,17.2
493,Grand Canyon,29,68,South Carolina,30,75,0.61,9.0,18.75,4.2,0.52,15.25,46.61,42.553,18.5,30.0,75.83,22.8,11.0,27.5,13.0,40.5,67.2,80.2,13.0,8.0,19.5,30.77,38.0,6.0,-0.5,14.8,14.25,1.25,15.2,21.0,2.6,0.555,6.4,48.23,41.516,19.0,20.4,68.63,14.0,6.0,25.6,10.4,36.0,66.0,76.6,10.0,5.6,20.8,39.42,28.9,8.2,-0.6,12.2,11.6
494,FIU,28,71,Akron,35,77,0.84,14.4,22.29,2.9,0.485,12.43,42.25,50.396,19.3,16.6,66.38,11.0,-7.0,17.86,12.14,30.0,77.9,70.0,-7.0,12.9,25.6,29.61,34.9,7.6,3.0,17.1,20.14,1.12,15.2,27.17,2.0,0.552,10.33,46.53,44.186,16.5,19.0,72.81,13.8,5.0,26.17,10.17,36.33,66.7,77.5,10.0,7.0,28.3,35.29,33.3,10.0,0.3,13.5,13.83
