Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
Pittsburgh,1.75,17.5,23.0,6.2,0.535,11.33,45.59,37.047,16.7,26.0,66.67,17.3,17.0,32.33,16.17,48.5,63.2,88.2,25.0,6.7,30.7,34.24,23.8,10.5,1.5,10.0,11.5
Montana St.,1.44,12.4,21.6,3.0,0.512,7.4,44.15,43.774,17.6,13.2,75.76,10.0,-10.0,22.0,6.6,28.6,63.2,71.2,8.0,10.2,27.2,30.88,28.4,8.4,9.2,8.6,17.8
Toledo,1.2,15.0,27.0,2.2,0.542,13.17,49.32,51.754,16.7,20.7,74.19,15.3,-1.0,20.5,10.67,31.17,76.7,81.3,4.0,8.2,14.8,40.45,33.3,6.0,4.5,12.5,17.0
Houston,1.72,14.0,26.0,4.3,0.512,11.57,44.6,35.258,17.1,22.0,63.64,14.0,10.0,26.29,15.14,41.43,49.0,76.3,27.0,11.0,23.1,34.57,27.9,8.0,8.6,8.1,16.71
UNLV,1.1,11.0,23.6,3.2,0.53,7.4,47.04,50.172,14.2,16.8,71.43,12.0,-2.0,21.0,9.8,30.8,74.6,72.8,-1.0,6.4,22.0,30.91,40.2,6.8,2.2,10.0,12.2
Liberty,1.89,18.0,32.5,1.5,0.633,6.0,53.07,40.653,13.8,15.2,68.13,10.3,9.0,28.17,9.5,37.67,60.8,85.8,25.0,5.3,28.7,42.44,27.1,12.2,1.7,9.5,11.17
New Hampshire,1.33,14.8,23.5,2.5,0.519,15.33,44.3,39.096,16.3,18.3,75.45,13.8,1.0,30.0,10.33,40.33,69.2,82.2,13.0,8.7,28.8,34.68,22.8,10.0,1.8,11.2,13.0
New Orleans,1.11,13.8,31.0,2.6,0.466,18.4,42.9,43.75,19.6,25.0,78.4,19.6,-4.0,27.2,11.6,38.8,75.8,82.6,6.0,9.8,19.4,25.77,26.6,5.0,6.4,12.4,18.8
Michigan,1.18,14.9,17.29,3.9,0.571,9.57,49.77,43.311,16.3,18.0,65.08,11.7,4.0,26.29,11.71,38.0,75.0,81.9,6.0,5.0,24.0,37.5,37.2,9.0,-0.1,12.6,12.43
N.C. Central,1.28,14.4,32.29,3.4,0.515,15.43,45.33,41.176,16.9,17.7,66.94,11.9,-2.0,24.14,11.14,35.29,68.9,76.4,7.0,10.0,24.4,31.58,29.0,7.7,4.1,11.3,15.43
Arkansas,0.85,10.3,29.29,6.3,0.51,11.71,45.17,43.026,21.6,28.9,70.79,20.4,3.0,27.43,10.71,38.14,75.3,80.7,5.0,5.4,20.6,33.33,35.1,6.9,0.4,12.1,12.57
Florida St.,1.17,16.8,30.6,4.8,0.552,14.0,49.03,43.878,22.2,22.2,66.67,14.8,-2.0,25.6,9.8,35.4,73.8,83.2,9.0,11.8,22.0,34.55,23.9,7.6,4.0,14.4,18.4
Austin Peay,0.95,10.3,12.17,3.3,0.48,8.5,41.57,43.653,18.8,16.7,68.0,11.3,0.0,24.33,11.33,35.67,66.5,68.3,1.0,9.8,22.3,34.33,27.5,7.7,3.3,10.8,14.17
UTSA,1.07,12.4,26.14,5.1,0.466,12.71,40.84,42.004,20.9,23.7,70.48,16.7,-2.0,28.86,12.71,41.57,82.3,77.0,-5.0,5.3,24.7,30.06,31.3,7.4,-2.1,11.6,9.43
Utah,1.44,18.4,17.2,3.6,0.546,6.8,46.89,42.633,13.0,21.8,68.81,15.0,8.0,30.2,11.4,41.6,71.2,81.6,10.0,7.0,24.2,38.84,35.8,9.4,-2.0,12.8,10.8
Oregon,1.52,14.2,28.17,3.7,0.528,10.67,46.44,43.503,18.2,24.5,60.54,14.8,5.0,28.33,12.0,40.33,73.3,81.5,8.0,7.5,22.0,36.36,32.2,8.0,2.8,9.3,12.17
