Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg
CSUN,0.92,12.0,24.0,4.3,0.508,13.67,47.92,42.188,19.0,16.7,68.0,11.3,8.0,29.67,12.0,,75.0,76.3,1.0,6.7,12.7,28.95,31.2,3.7,-2.0,13.0,11.0
Wichita St.,1.13,13.0,25.0,6.0,0.531,6.25,47.51,35.211,12.8,18.8,68.0,12.8,10.0,35.5,12.25,,65.5,82.0,16.0,5.0,20.5,35.37,25.0,7.2,-2.5,11.5,9.0
Boise St.,0.92,12.0,26.0,2.0,0.472,8.0,43.9,37.19,13.0,27.5,65.45,18.0,18.0,32.5,15.0,,56.5,76.0,19.0,7.0,19.5,20.51,24.4,4.0,1.5,13.0,14.5
Holy Cross,0.92,11.3,11.33,2.0,0.56,4.33,49.14,42.373,18.0,12.7,52.63,6.7,3.0,25.0,12.0,,74.7,72.0,-2.0,4.3,21.3,37.5,41.2,8.0,-4.0,12.3,8.33
Monmouth,0.92,11.0,9.5,4.5,0.471,21.5,39.17,37.931,21.0,15.0,70.0,10.5,-6.0,22.5,10.5,,68.5,67.0,-1.0,8.5,24.0,39.58,30.8,9.5,2.0,12.0,14.0
Southern California,0.91,14.0,19.0,5.3,0.497,15.33,44.83,36.842,14.3,22.3,80.6,18.0,2.0,27.67,11.67,,66.0,75.7,9.0,7.7,20.7,27.42,27.0,5.7,-1.7,15.3,13.67
UT Martin,0.91,13.3,29.67,2.3,0.495,23.67,44.71,38.222,11.0,21.3,79.69,17.0,6.0,35.67,11.67,,78.3,85.7,7.0,10.3,26.7,25.0,31.9,6.7,-1.0,14.7,13.67
Morehead St.,0.9,14.0,21.5,4.2,0.526,6.75,45.92,44.889,19.0,18.5,74.32,13.8,6.0,24.25,12.0,,74.5,75.0,0.0,7.2,24.5,31.63,36.0,7.8,-1.8,15.5,13.75
Oregon St.,0.9,12.3,21.67,4.0,0.497,11.67,43.09,34.759,19.0,30.0,71.11,21.3,3.0,30.67,11.67,,65.7,81.3,15.0,7.3,26.0,30.77,31.7,8.0,4.3,13.7,18.0
San Diego,0.9,12.3,39.0,3.0,0.476,17.0,40.72,44.231,19.3,24.7,79.73,19.7,3.0,24.33,11.0,,64.7,72.7,8.0,5.0,22.7,33.82,30.8,7.7,2.3,13.7,16.0
George Mason,0.9,12.0,20.67,4.3,0.534,10.33,45.73,36.413,15.7,25.0,72.0,18.0,9.0,29.0,12.67,,63.0,76.3,13.0,5.7,22.3,37.31,35.6,8.3,-1.3,13.3,12.0
Fresno St.,0.9,14.7,28.0,3.3,0.611,14.0,54.32,42.703,15.0,18.0,64.81,11.7,5.0,27.67,7.67,,71.0,77.7,6.0,8.7,18.3,40.0,41.9,7.3,-3.3,16.3,13.0
Providence,0.9,14.3,16.33,7.0,0.548,10.67,47.59,33.505,15.0,24.0,65.28,15.7,4.0,28.67,11.0,,62.3,76.3,14.0,8.7,24.0,33.33,22.2,8.0,-2.7,16.0,13.33
Portland,0.88,15.8,13.75,4.8,0.522,10.25,45.81,39.544,16.0,21.8,81.61,17.8,8.0,29.5,11.0,,71.2,77.0,5.0,6.5,24.8,29.29,32.1,7.2,-5.8,18.0,12.25
