Team,ATRatio,Apg,BPpg,Bpg,EFG%,FbP,Fg%,Fg%D,Fpg,FTApg,FTp,FTMpg,RM,RDpg,ROpg,Rpg,SD,SO,SM,Spg,3PApg,3P%,3PD%,3Ppg,TOM,Tpg,TFpg,PPG_x,PPG_y
Louisville,0.61,9.0,22.67,3.3,0.464,4.0,42.71,41.711,17.3,24.3,65.75,16.0,8.0,27.33,17.0,,71.7,75.3,3.0,6.3,17.7,26.42,38.9,4.7,-0.7,14.7,14.0,75.3,74.4
UCF,0.8,12.3,32.67,5.0,0.51,11.33,45.6,36.913,20.0,17.3,61.54,10.7,5.0,25.67,12.67,,64.7,76.3,11.0,10.0,21.7,32.31,29.3,7.0,3.7,15.3,19.0,76.3,77.2
Delaware St.,0.66,11.0,22.75,1.0,0.406,10.5,37.66,49.065,17.5,17.2,69.57,12.0,-2.0,19.5,11.75,,76.5,60.5,-16.0,11.2,14.8,23.73,42.4,3.5,1.5,16.8,18.25,60.5,62.8
ULM,0.81,13.0,21.33,2.3,0.441,6.0,38.89,42.169,20.0,15.7,53.19,8.3,-3.0,22.33,13.0,,73.7,56.0,-17.0,9.0,19.3,29.31,33.7,5.7,-2.0,16.0,14.0,56.0,67.8
Towson,0.63,7.4,18.4,3.0,0.442,2.0,40.3,43.411,16.8,20.4,64.71,13.2,9.0,24.0,14.6,,64.4,60.6,-3.0,4.6,13.2,31.82,38.9,4.2,-1.6,11.8,10.2,60.6,57.0
Seattle U,0.63,10.5,14.5,3.8,0.434,7.0,39.44,38.793,20.8,23.2,78.49,18.2,2.0,27.0,9.0,,62.5,64.5,2.0,6.8,19.0,22.37,24.4,4.2,-2.2,16.8,14.5,64.5,64.5
Campbell,0.59,9.0,13.0,2.0,0.451,9.0,40.91,40.113,13.3,22.0,71.21,15.7,0.0,24.33,8.0,,61.7,55.3,-6.0,4.7,14.0,26.19,24.3,3.7,-5.3,15.3,10.0,55.3,60.2
Howard,0.57,10.0,23.8,3.2,0.525,17.4,45.68,47.188,19.2,26.2,74.81,19.6,2.0,26.4,9.6,,82.6,78.0,-4.0,6.4,20.0,38.0,33.0,7.6,-5.8,17.4,11.6,78.0,75.2
Central Mich.,0.55,10.2,20.0,3.2,0.498,7.75,43.72,47.826,18.5,17.8,61.97,11.0,-2.0,21.75,10.0,,80.0,64.5,-15.0,6.2,20.8,31.33,36.0,6.5,-5.2,18.5,13.25,64.5,65.6
Manhattan,0.95,13.0,17.33,3.0,0.436,10.67,38.78,41.546,15.3,13.7,73.17,10.0,-4.0,29.67,10.33,,75.0,67.0,-8.0,7.0,23.0,27.54,38.7,6.3,-0.7,13.7,13.0,67.0,67.0
NJIT,0.67,9.7,16.67,1.7,0.44,4.67,38.1,46.809,19.7,17.3,63.46,11.0,-16.0,19.33,8.67,,87.7,60.3,-27.0,6.3,22.3,29.85,38.0,6.7,-3.7,14.3,10.67,60.3,65.5
Middle Tenn.,0.65,9.0,17.5,4.2,0.479,9.0,42.62,42.222,16.5,24.0,68.75,16.5,6.0,25.5,13.5,,61.8,73.2,11.0,7.8,19.5,32.05,23.4,6.2,0.5,13.8,14.25,73.2,73.2
Ga. Southern,0.52,7.0,27.33,2.3,0.418,7.0,35.59,49.39,20.0,20.0,70.0,14.0,-5.0,19.67,13.0,,79.7,63.3,-16.0,6.7,28.0,26.19,42.0,7.3,1.0,13.3,14.33,63.3,69.2
Saint Francis (PA),0.52,9.2,24.0,2.0,0.412,5.0,36.59,50.612,19.0,14.8,66.1,9.8,-12.0,18.5,8.25,,81.0,52.0,-29.0,3.8,19.2,24.68,30.8,4.8,-7.0,17.8,10.75,52.0,57.0
Prairie View,0.5,7.2,17.75,2.8,0.416,12.75,38.82,42.601,22.2,25.0,81.0,20.2,2.0,24.75,14.0,,73.5,73.2,0.0,8.8,13.5,25.93,29.9,3.5,2.5,14.5,17.0,73.2,74.2
